doublet,singlet,Prediction,dif
1.8234698,-2.0284233,doublet,3.851893
1.5996623,-1.0040183,doublet,2.6036806
1.6727605,-1.3451061,doublet,3.0178666
0.7455678,-1.5183411,doublet,2.2639089
0.35626984,-1.34664,doublet,1.7029098
1.3642735,-0.7905576,doublet,2.1548312
1.1214491,-0.35718048,doublet,1.4786296
0.17608953,-1.262733,doublet,1.4388225
0.94640946,-0.47052526,doublet,1.4169347
1.5586758,-1.2345618,doublet,2.7932377
0.36301708,-1.251919,doublet,1.6149361
0.41803694,-1.5129098,doublet,1.9309467
1.6373845,-1.9651589,doublet,3.6025434
1.0290389,-0.66834044,doublet,1.6973794
0.826161,-0.6377772,doublet,1.4639382
1.1284337,-1.016794,doublet,2.1452277
0.74362874,-1.1621348,doublet,1.9057635
0.729969,-1.0410964,doublet,1.7710655
0.8622644,-2.0516036,doublet,2.913868
0.71953607,-0.5324317,doublet,1.2519678
0.9572629,-0.8828422,doublet,1.840105
1.7367858,-1.540736,doublet,3.2775216
1.1726563,-0.75311303,doublet,1.9257693
0.4806838,-0.92670155,doublet,1.4073853
0.48528814,-0.7025298,doublet,1.1878179
1.0701482,-1.4520669,doublet,2.5222151
0.14459836,-1.3010639,doublet,1.4456623
0.26875567,-0.9363966,doublet,1.2051523
0.7169672,-1.8306415,doublet,2.5476089
1.1433544,-0.57316446,doublet,1.7165189
0.38021588,-1.0231228,doublet,1.4033387
0.92202497,-0.6177051,doublet,1.5397301
1.8812532,-2.4544766,doublet,4.3357296
1.6040691,-1.3801225,doublet,2.9841917
0.71483314,-1.0954971,doublet,1.8103303
0.77971077,-0.62607837,doublet,1.4057891
0.65619886,-1.283562,doublet,1.9397608
0.14973056,-1.1318622,doublet,1.2815927
1.383198,-1.5065249,doublet,2.8897228
0.3403976,-1.3032168,doublet,1.6436144
1.0238068,-0.64419436,doublet,1.6680012
0.9759114,-0.92470205,doublet,1.9006134
0.13981652,-0.8981285,doublet,1.037945
0.40662777,-0.95387363,doublet,1.3605014
1.0392575,-0.66440713,doublet,1.7036647
1.6492655,-1.8143339,doublet,3.4635994
0.515278,-1.1136363,doublet,1.6289142
0.27410793,-1.0526999,doublet,1.3268079
0.88031435,-0.8045347,doublet,1.684849
0.7557235,-0.5793326,doublet,1.3350561
1.7505598,-1.7848326,doublet,3.5353923
0.023511648,-1.1097538,doublet,1.1332655
1.4686114,-1.5039132,doublet,2.9725246
0.73301303,-1.2548103,doublet,1.9878234
0.8091692,-0.8625188,doublet,1.671688
1.1259899,-0.59596515,doublet,1.7219551
1.946528,-1.8472306,doublet,3.7937584
0.36687696,-0.64009905,doublet,1.006976
0.24459422,-1.5106393,doublet,1.7552335
0.44617963,-1.0206375,doublet,1.4668171
0.7631085,-0.6578374,doublet,1.4209459
0.5892668,-0.48646104,doublet,1.0757278
0.94674873,-0.4188044,doublet,1.3655531
0.6684022,-0.722013,doublet,1.3904152
0.70288897,-0.83406067,doublet,1.5369496
0.56241286,-1.6683265,doublet,2.2307394
1.0885634,-0.8429663,doublet,1.9315298
0.14018083,-0.88493824,doublet,1.0251191
0.056478858,-1.0329925,doublet,1.0894713
1.0910789,-0.6371014,doublet,1.7281803
-0.047789097,-1.1143255,doublet,1.0665364
1.027452,-0.80811596,doublet,1.835568
1.5771499,-1.6556685,doublet,3.2328184
0.96249187,-1.0573554,doublet,2.0198474
0.28838623,-1.2031864,doublet,1.4915726
0.7552922,-1.1386001,doublet,1.8938923
1.130027,-0.82402456,doublet,1.9540516
0.6830858,-1.4092137,doublet,2.0922995
0.6979251,-1.7342806,doublet,2.4322057
1.3455236,-1.16156,doublet,2.5070837
0.51939225,-1.2453101,doublet,1.7647023
1.25329,-0.71796536,doublet,1.9712554
1.1941224,-0.99303055,doublet,2.1871529
0.62823343,-0.43710494,doublet,1.0653384
-0.16828394,-1.4006374,doublet,1.2323534
0.71053123,-1.5256085,doublet,2.2361398
0.248222,-1.1396034,doublet,1.3878254
0.6600292,-1.6341176,doublet,2.2941468
0.73663735,-1.0224445,doublet,1.7590818
2.0110104,-2.1633606,doublet,4.174371
1.5724728,-1.4446156,doublet,3.0170884
1.528696,-1.4561234,doublet,2.9848194
1.1699423,-1.77793,doublet,2.9478722
1.0046394,-1.0116287,doublet,2.0162683
1.5325215,-1.6952293,doublet,3.2277508
0.7355273,-0.48710465,doublet,1.2226319
0.7133641,-1.7631259,doublet,2.47649
0.8927306,-1.2314363,doublet,2.124167
0.39873576,-1.3368382,doublet,1.735574
0.49273586,-0.9039794,doublet,1.3967153
0.21527672,-1.1784185,doublet,1.3936952
1.3613627,-1.8242033,doublet,3.185566
1.0429516,-1.3006059,doublet,2.3435574
0.5036955,-0.586097,doublet,1.0897925
0.9971677,-1.2113771,doublet,2.2085447
0.19445753,-1.33247,doublet,1.5269276
0.8882462,-1.9115684,doublet,2.7998147
0.33996058,-0.88151073,doublet,1.2214713
0.9897678,-0.75413203,doublet,1.7438998
1.1713207,-1.3303437,doublet,2.5016644
0.8305676,-0.98223734,doublet,1.8128049
0.91346717,-0.86903405,doublet,1.7825012
1.386459,-1.9498792,doublet,3.336338
1.1697483,-1.3908789,doublet,2.5606272
1.4370852,-1.6675683,doublet,3.1046534
1.4136881,-1.3599905,doublet,2.7736785
0.8162092,-1.2598299,doublet,2.076039
0.7895248,-0.49588752,doublet,1.2854123
0.28497624,-1.1115226,doublet,1.3964988
1.5200167,-1.5540135,doublet,3.0740302
2.489562,-2.6334987,doublet,5.1230607
0.6826887,-0.99297917,doublet,1.6756679
0.29473734,-1.2694745,doublet,1.5642118
1.1136317,-0.6690712,doublet,1.7827029
-0.08877516,-1.2065372,doublet,1.1177621
0.75888443,-0.54745305,doublet,1.3063375
1.506634,-1.0508144,doublet,2.5574484
0.9473183,-1.5572269,doublet,2.5045452
1.0008125,-0.6637471,doublet,1.6645596
0.845561,-1.4614193,doublet,2.3069804
1.5286852,-2.1206832,doublet,3.6493683
0.9838357,-0.17964005,doublet,1.1634758
1.1839185,-1.1459762,doublet,2.3298945
0.9311807,-1.6846751,doublet,2.6158557
0.91578937,-1.0366852,doublet,1.9524746
1.4016739,-2.605152,doublet,4.006826
0.8684914,-0.7037225,doublet,1.5722139
0.58856523,-1.0003841,doublet,1.5889493
0.8407314,-0.7402941,doublet,1.5810255
0.4844898,-0.69318295,doublet,1.1776727
1.1647972,-1.0905181,doublet,2.2553153
1.4452555,-1.593945,doublet,3.0392005
1.0882912,-0.72019744,doublet,1.8084886
0.62733245,-0.98640275,doublet,1.6137352
1.2305365,-1.5363222,doublet,2.7668586
1.0891156,-1.2496356,doublet,2.3387513
0.39117098,-1.5138323,doublet,1.9050033
1.7047086,-2.083584,doublet,3.7882926
2.0053184,-2.4550276,doublet,4.460346
1.0446297,-1.677028,doublet,2.7216578
0.42575192,-1.093837,doublet,1.519589
0.6636789,-0.5752584,doublet,1.2389373
1.1036983,-1.0966082,doublet,2.2003064
0.78105485,-0.7104354,doublet,1.4914902
1.690552,-1.8207359,doublet,3.511288
0.25539637,-0.78876066,doublet,1.044157
0.6960318,-0.64556646,doublet,1.3415983
1.3542149,-1.3661653,doublet,2.7203803
1.2450367,-1.2687235,doublet,2.51376
1.637024,-1.3191139,doublet,2.956138
1.154384,-1.5820823,doublet,2.7364664
-0.12794161,-1.7162361,doublet,1.5882945
0.8979981,-0.97285736,doublet,1.8708555
2.2710545,-2.4295413,doublet,4.700596
0.29306412,-0.8210808,doublet,1.1141449
0.92493296,-0.9090954,doublet,1.8340284
1.683483,-1.5547291,doublet,3.238212
0.91206515,-0.84604335,doublet,1.7581085
0.9650502,-1.3512087,doublet,2.316259
0.3226478,-1.1375332,doublet,1.460181
0.9673734,-0.79558325,doublet,1.7629566
1.0152564,-1.2125767,doublet,2.2278333
0.59872925,-1.3704178,doublet,1.9691471
0.34501314,-0.92386127,doublet,1.2688744
1.6271424,-1.5639838,doublet,3.1911263
0.61072683,-0.70442986,doublet,1.3151567
2.2310367,-2.032726,doublet,4.2637625
0.62045026,-0.6549977,doublet,1.275448
0.6873182,-0.4703641,doublet,1.1576823
1.1311309,-0.98313034,doublet,2.1142612
0.23713541,-1.2737951,doublet,1.5109305
0.6824118,-1.1162529,doublet,1.7986647
0.6219866,-0.9102135,doublet,1.5322001
0.7998667,-1.85122,doublet,2.6510868
0.16146588,-1.6203728,doublet,1.7818387
1.1061051,-1.9992183,doublet,3.1053233
1.6980385,-1.7845361,doublet,3.4825745
1.5249717,-2.1311588,doublet,3.6561306
0.5275645,-0.88496494,doublet,1.4125295
0.5138531,-0.9202914,doublet,1.4341445
0.7081504,-0.55352426,doublet,1.2616746
0.61653435,-0.6002476,doublet,1.216782
1.2888237,-1.3693027,doublet,2.6581264
-0.08412647,-1.1992437,doublet,1.1151172
0.8333821,-1.1407323,doublet,1.9741144
2.4998822,-2.6377702,doublet,5.1376524
1.409776,-1.9499292,doublet,3.3597052
1.3523633,-1.1076,doublet,2.4599633
0.6538117,-1.0241483,doublet,1.67796
0.7512374,-1.3064811,doublet,2.0577185
1.0883813,-0.90199816,doublet,1.9903795
1.36621,-1.2042723,doublet,2.5704823
1.5861425,-1.1704164,doublet,2.756559
0.54563606,-0.73656857,doublet,1.2822046
1.0048075,-0.5211754,doublet,1.5259829
1.6893697,-1.6945589,doublet,3.3839285
0.140208,-1.2636721,doublet,1.4038801
0.76748145,-0.49310207,doublet,1.2605835
0.67610097,-0.43156183,doublet,1.1076628
1.4793466,-2.263916,doublet,3.7432628
1.193793,-0.8262696,doublet,2.0200627
1.3345729,-1.1567578,doublet,2.4913306
0.8201802,-0.70926416,doublet,1.5294443
0.6422379,-1.090069,doublet,1.732307
0.40804815,-0.74832904,doublet,1.1563772
1.3385526,-1.2194854,doublet,2.558038
0.10466707,-0.9186728,doublet,1.0233399
0.8157606,-0.8933945,doublet,1.7091551
0.35783052,-0.9711181,doublet,1.3289486
1.1011409,-1.4237065,doublet,2.5248475
0.846596,-0.6087419,doublet,1.4553379
1.0239656,-1.0260769,doublet,2.0500426
1.078683,-0.83276665,doublet,1.9114497
1.6778893,-1.4778639,doublet,3.1557531
1.5151888,-2.686193,doublet,4.2013817
1.3763986,-1.6848147,doublet,3.0612133
0.9345937,-1.2146468,doublet,2.1492405
2.0379312,-2.389405,doublet,4.427336
1.5476446,-1.6365281,doublet,3.1841726
0.89715815,-1.0744166,doublet,1.9715748
0.20581722,-0.7981703,doublet,1.0039876
1.6336358,-1.9189432,doublet,3.552579
0.6518688,-1.0824957,doublet,1.7343645
0.29620242,-0.83825266,doublet,1.1344551
0.8717418,-0.97234917,doublet,1.8440909
0.91738725,-0.88312685,doublet,1.8005141
1.4177635,-1.5261488,doublet,2.9439123
1.1020136,-1.195569,doublet,2.2975826
1.9288452,-1.7018207,doublet,3.6306658
0.67415357,-0.76659536,doublet,1.4407489
0.7283,-0.5747926,doublet,1.3030926
1.3849695,-1.85383,doublet,3.2387996
0.647791,-0.4562769,doublet,1.1040679
0.36100054,-1.0293322,doublet,1.3903327
1.1284502,-1.8781044,doublet,3.0065546
0.7530459,-0.5470271,doublet,1.300073
0.7744527,-0.29019427,doublet,1.064647
0.5300374,-0.9896641,doublet,1.5197015
1.1405509,-1.2524046,doublet,2.3929553
0.6416732,-0.47298813,doublet,1.1146613
1.3206786,-1.1416677,doublet,2.4623463
0.146474,-0.9176328,doublet,1.0641068
0.7881925,-0.29578722,doublet,1.0839797
1.2013254,-1.2999101,doublet,2.5012355
1.0564753,-1.1950372,doublet,2.2515125
1.0438731,-1.4123697,doublet,2.4562428
1.485493,-2.3963718,doublet,3.8818648
-0.0939188,-1.1302812,doublet,1.0363624
0.5273421,-0.52614355,doublet,1.0534856
0.56532824,-0.87073314,doublet,1.4360614
0.71151733,-1.2253509,doublet,1.9368682
0.39683712,-0.78782797,doublet,1.1846651
1.4380312,-2.1557922,doublet,3.5938234
2.2604976,-2.6729355,doublet,4.933433
1.8166082,-2.12268,doublet,3.9392881
1.0021334,-0.84914196,doublet,1.8512753
0.7762165,-1.2145764,doublet,1.9907929
1.0819957,-1.7117558,doublet,2.7937515
0.43181324,-0.7285538,doublet,1.160367
0.20121765,-1.1084049,doublet,1.3096225
0.19123268,-0.9648808,doublet,1.1561135
0.9899372,-0.97780156,doublet,1.9677387
0.8757001,-1.9534221,doublet,2.829122
0.46999693,-1.1013178,doublet,1.5713147
0.64567006,-0.44901943,doublet,1.0946895
0.5428858,-0.784173,doublet,1.3270588
0.6783726,-0.7269087,doublet,1.4052813
1.6431799,-1.4280561,doublet,3.0712361
1.1056955,-1.2581446,doublet,2.36384
0.84290993,-0.5218742,doublet,1.3647841
1.3460071,-1.5714792,doublet,2.9174862
0.8898454,-1.1632069,doublet,2.0530524
1.4906332,-2.159406,doublet,3.6500392
1.2206848,-1.3020573,doublet,2.522742
1.2383264,-1.0956401,doublet,2.3339665
0.54610205,-0.6582836,doublet,1.2043856
0.6646435,-0.6994753,doublet,1.3641188
0.6529386,-0.5207813,doublet,1.1737199
1.5232825,-1.5401304,doublet,3.063413
0.8760468,-0.92960644,doublet,1.8056532
0.60803723,-0.6075449,doublet,1.2155821
0.5268456,-0.9985169,doublet,1.5253625
0.4615538,-1.3444897,doublet,1.8060435
0.4975543,-0.5211694,doublet,1.0187237
0.7336507,-1.4566857,doublet,2.1903362
1.0989838,-1.3005044,doublet,2.3994882
0.7715032,-0.7923496,doublet,1.5638528
0.752239,-0.6438626,doublet,1.3961016
1.1193573,-1.1150635,doublet,2.2344208
0.44850326,-0.6412238,doublet,1.089727
0.6365075,-0.4849254,doublet,1.1214329
0.8990538,-1.4042311,doublet,2.303285
1.2569036,-1.6196097,doublet,2.8765135
1.5579315,-1.9455146,doublet,3.503446
0.74581695,-0.26594353,doublet,1.0117605
1.0813477,-1.0433842,doublet,2.124732
1.0393082,-1.3085668,doublet,2.347875
0.6502441,-0.6295457,doublet,1.2797898
0.9786167,-0.7314284,doublet,1.7100451
0.80812943,-0.7870687,doublet,1.5951982
1.9902446,-2.3599293,doublet,4.350174
2.079272,-2.3667579,doublet,4.4460297
0.55874336,-0.5088527,doublet,1.0675961
0.7471485,-0.7377126,doublet,1.4848611
0.6821326,-1.379406,doublet,2.0615387
1.1049533,-0.9833561,doublet,2.0883093
1.2345064,-1.1646757,doublet,2.399182
0.68012726,-0.76334596,doublet,1.4434732
0.41953373,-0.6349486,doublet,1.0544823
0.66630805,-1.0292869,doublet,1.6955949
0.8240849,-0.17675138,doublet,1.0008363
0.84767926,-0.79348993,doublet,1.6411692
1.4272218,-1.4944326,doublet,2.9216542
1.2712078,-1.1775861,doublet,2.448794
0.90765345,-0.7286341,doublet,1.6362876
0.64705634,-0.6296029,doublet,1.2766593
0.56481576,-0.6272836,doublet,1.1920993
0.5518452,-0.881264,doublet,1.4331092
0.99112034,-1.2831798,doublet,2.2743
1.0355506,-1.7442195,doublet,2.7797701
1.4354446,-1.6277244,doublet,3.063169
0.82804775,-1.1735666,doublet,2.0016143
1.8291192,-1.8045406,doublet,3.6336598
1.5787935,-1.7644607,doublet,3.343254
1.3394659,-1.4808533,doublet,2.8203192
1.8900405,-2.0335228,doublet,3.9235635
0.16234434,-0.9162712,doublet,1.0786155
2.00587,-2.4423022,doublet,4.4481726
0.54180896,-0.72392535,doublet,1.2657343
0.71635795,-0.5287981,doublet,1.245156
0.4479506,-0.7437943,doublet,1.1917449
1.0608,-1.4322405,doublet,2.4930406
0.8198236,-0.5312841,doublet,1.3511077
0.4236102,-1.0018426,doublet,1.4254528
0.7948706,-1.3092928,doublet,2.1041634
1.0032492,-1.2941175,doublet,2.2973666
0.46786427,-0.6756389,doublet,1.1435032
1.2181473,-1.273663,doublet,2.4918103
0.941803,-1.1076391,doublet,2.049442
1.0000486,-1.4499965,doublet,2.450045
1.5817051,-1.5148429,doublet,3.096548
1.3175006,-1.4923396,doublet,2.8098402
1.116743,-1.1305429,doublet,2.2472858
0.4396298,-1.4841752,doublet,1.923805
0.6054163,-0.65059805,doublet,1.2560143
0.16037595,-1.0024811,doublet,1.162857
1.0460694,-1.1119342,doublet,2.1580036
0.52300036,-1.209804,doublet,1.7328044
0.7155113,-1.0391947,doublet,1.754706
1.005934,-1.2579776,doublet,2.2639117
0.87093186,-0.8979175,doublet,1.7688494
0.7596853,-0.35975456,doublet,1.1194398
1.2695973,-1.43464,doublet,2.7042375
0.6208414,-0.48569322,doublet,1.1065346
0.5638932,-1.1349987,doublet,1.6988919
0.85730696,-1.3383439,doublet,2.1956508
0.62743866,-0.9606476,doublet,1.5880862
1.1060542,-1.4703166,doublet,2.5763707
0.82741416,-0.46792674,doublet,1.2953409
0.614712,-0.5797132,doublet,1.1944252
1.2305585,-1.5708957,doublet,2.801454
0.756835,-1.1642332,doublet,1.9210682
0.8631326,-0.58608747,doublet,1.4492201
0.7754482,-1.5669959,doublet,2.342444
0.67260194,-0.71203196,doublet,1.3846339
0.93883014,-0.11259401,doublet,1.0514241
1.1555927,-0.9077332,doublet,2.063326
0.7390752,-0.9320004,doublet,1.6710756
1.0267115,-0.80003834,doublet,1.8267498
0.48606396,-0.793465,doublet,1.279529
1.9247222,-1.9360625,doublet,3.8607845
0.7397001,-1.010685,doublet,1.750385
0.8848702,-1.0559931,doublet,1.9408633
0.9103538,-0.90913165,doublet,1.8194854
0.27949452,-0.9655974,doublet,1.2450919
0.7844988,-0.58604074,doublet,1.3705395
1.1252772,-1.1449528,doublet,2.2702298
0.7992232,-1.3041148,doublet,2.103338
1.7607179,-2.1850553,doublet,3.9457731
0.40812123,-0.7470741,doublet,1.1551954
0.7187867,-1.2857349,doublet,2.0045216
-0.090420246,-1.4228371,doublet,1.3324169
0.7207154,-0.8085499,doublet,1.5292653
0.5267874,-0.66466165,doublet,1.191449
0.05535817,-1.2488185,doublet,1.3041767
0.90673256,-1.356749,doublet,2.2634816
0.6472069,-0.80552745,doublet,1.4527344
0.6497083,-1.0177226,doublet,1.6674309
0.70866776,-0.73690534,doublet,1.4455731
1.270374,-1.07569,doublet,2.346064
0.41782713,-0.7318258,doublet,1.149653
1.8160768,-2.084531,doublet,3.9006078
0.48718572,-0.5984404,doublet,1.0856261
0.71805406,-0.98109806,doublet,1.6991521
0.6439724,-0.7334845,doublet,1.3774569
1.3195826,-1.1830261,doublet,2.5026088
0.9039712,-1.0754716,doublet,1.9794428
0.6406255,-0.86682177,doublet,1.5074472
2.7986965,-3.002934,doublet,5.8016305
0.6340939,-0.96486783,doublet,1.5989617
0.52711165,-0.49494386,doublet,1.0220555
0.18040645,-0.89434826,doublet,1.0747547
0.793355,-0.42318225,doublet,1.2165372
0.6939192,-0.76127815,doublet,1.4551973
1.135296,-1.186479,doublet,2.321775
1.6013855,-1.4933039,doublet,3.0946894
1.0995426,-1.399825,doublet,2.4993677
0.55250907,-0.47442067,doublet,1.0269297
0.41445935,-0.69954944,doublet,1.1140088
0.356009,-0.8275192,doublet,1.1835282
1.2342801,-1.3526902,doublet,2.5869703
1.5632114,-1.5804296,doublet,3.143641
0.5942943,-0.89843464,doublet,1.492729
2.0169091,-1.9384717,doublet,3.955381
0.30678225,-0.9360956,doublet,1.2428778
1.0189972,-0.76591325,doublet,1.7849104
0.7997067,-0.73898244,doublet,1.5386891
0.82220566,-0.7336595,doublet,1.5558652
0.69970894,-0.64545155,doublet,1.3451605
2.3332703,-2.3510466,doublet,4.6843166
0.5846617,-1.1088574,doublet,1.6935191
0.78412116,-0.89064467,doublet,1.6747658
0.7384509,-0.7039163,doublet,1.4423672
0.37905264,-0.88546014,doublet,1.2645128
1.32655,-1.4362745,doublet,2.7628245
1.2597206,-1.1317424,doublet,2.3914628
0.71430445,-0.5622513,doublet,1.2765558
0.8539467,-1.7267953,doublet,2.580742
1.0492945,-1.394226,doublet,2.4435205
1.3631628,-1.6378789,doublet,3.0010417
0.41855192,-0.89188516,doublet,1.3104371
0.4516592,-0.5652561,doublet,1.0169153
0.7148646,-0.82386184,doublet,1.5387264
1.0213754,-0.7618854,doublet,1.7832608
1.0431807,-1.1792188,doublet,2.2223995
1.0592866,-1.1106288,doublet,2.1699154
0.84441245,-0.7251786,doublet,1.569591
0.28132212,-0.9604411,doublet,1.2417632
0.98978484,-1.0848292,doublet,2.074614
0.6418762,-1.0440904,doublet,1.6859666
1.1838179,-0.89441264,doublet,2.0782304
0.5906372,-1.0258149,doublet,1.6164521
0.4513383,-0.5618925,doublet,1.0132308
0.5900103,-1.1600051,doublet,1.7500154
1.0661994,-0.59027267,doublet,1.6564721
0.4892583,-0.51214635,doublet,1.0014046
0.9901426,-0.8775232,doublet,1.8676658
1.1402501,-1.0078837,doublet,2.1481338
0.77360106,-0.80800533,doublet,1.5816064
0.88550603,-0.7698587,doublet,1.6553648
0.7207968,-0.5569066,doublet,1.2777034
1.7909845,-1.7978532,doublet,3.5888376
1.2629758,-1.376312,doublet,2.639288
0.52634406,-0.7214389,doublet,1.247783
1.1609975,-1.200862,doublet,2.3618596
0.41650367,-1.1338603,doublet,1.550364
2.0071297,-2.0297632,doublet,4.036893
0.8604455,-0.6464422,doublet,1.5068877
0.5026648,-0.9306176,doublet,1.4332824
0.50991845,-0.5122236,doublet,1.022142
0.952353,-0.8981221,doublet,1.8504751
